model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
random_forest,binary,time_ablated,24,f1_score,0.4865909640009664,41,37.35218548774719,0.924530312178144,0.3984962406015037,0.6246898263027295,0.4865909640009664,0.8703553110103309,300.0,10.0,1.0,sqrt,30.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,25,f1_score,0.4902559286217422,41,83.86472845077515,0.9228966154064708,0.3944087646392142,0.6476426799007444,0.4902559286217422,0.891326353909065,700.0,5.0,1.0,sqrt,20.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,26,f1_score,0.4903180377889919,41,24.01874828338623,0.9228788578328656,0.3943741740607891,0.6479528535980149,0.4903180377889919,0.8904460541979606,200.0,2.0,1.0,sqrt,20.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,27,f1_score,0.5154190658989124,41,30.68459296226501,0.932752068757325,0.4386843824874755,0.6246898263027295,0.5154190658989124,0.8838598613151412,300.0,10.0,4.0,sqrt,30.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,28,f1_score,0.4927334030926636,41,57.51587843894959,0.9225237063607628,0.3940859215175749,0.657258064516129,0.4927334030926636,0.9001838899438988,700.0,2.0,2.0,log2,10.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,29,f1_score,0.528347085440511,41,28.27894735336304,0.9370671591433748,0.4627039627039627,0.6156947890818859,0.528347085440511,0.8827961390531646,300.0,10.0,4.0,log2,,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,30,f1_score,0.4833917139751177,41,25.675475597381592,0.9240508576908052,0.3958456973293768,0.6206575682382134,0.4833917139751177,0.8534051130226447,200.0,5.0,1.0,sqrt,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,1,macro_f1,0.5314417200534313,41,221.4177806377411,0.8241467485882729,,,,,500.0,5.0,1.0,,30.0,True,0.5475821891729701,0.5611883901312976,0.5314417200534313,0.8819831662563195,0.9936522533792732,0.91962675698475,0.870289431328212,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,2,macro_f1,0.5312010970748926,41,309.3283166885376,0.8359555350356928,,,,,700.0,5.0,2.0,,40.0,True,0.5456515595277759,0.5584102154154637,0.5312010970748926,0.8889145143708082,0.9938441474264614,0.9170156888105998,0.8611847649034338,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,3,macro_f1,0.5278332424274839,41,56.17662382125855,0.7296231842880989,,,,,500.0,2.0,4.0,log2,30.0,True,0.5522263414959881,0.5788435458587795,0.5278332424274839,0.8217513831550142,0.9870932470621764,0.9545373374167166,0.8868491305097312,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,4,macro_f1,0.530314406244396,41,89.34219908714294,0.7805341478140427,,,,,700.0,2.0,2.0,sqrt,30.0,True,0.5493759706828469,0.5676353202298532,0.530314406244396,0.8551948440366396,0.9906699505860608,0.9536987145683268,0.8829204138832485,,,,,,,,,,,,,
