model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree
xgboost,binary,time_ablated,1,f1_score,0.3989285714285714,41,3.375619411468506,0.8804560144901801,0.2800902708124373,0.6929280397022333,0.3989285714285714,0.9001917421467456,0.7,1,200,3,6,0.01,0.0,0.8
xgboost,binary,time_ablated,2,f1_score,0.4356975837879969,41,4.528290033340454,0.8971481336790141,0.3176136363636364,0.6935483870967742,0.4356975837879969,0.8992097815311515,1.0,5,200,3,8,0.1,0.0,0.7
xgboost,binary,time_ablated,3,f1_score,0.41063810474720885,41,5.589141130447388,0.8847000745818091,0.29026049018349803,0.7016129032258065,0.41063810474720885,0.8977891082935621,0.8,5,400,1,6,0.1,0.5,0.8
xgboost,binary,time_ablated,4,f1_score,0.4606681609563454,41,4.802161931991577,0.9102709805732144,0.35117982099267697,0.6693548387096774,0.4606681609563454,0.8992997137918801,1.0,2,600,1,4,0.01,0.5,1.0
xgboost,binary,time_ablated,5,f1_score,0.42641330166270786,41,2.264355182647705,0.8927975281457542,0.3073551568278318,0.6960297766749379,0.42641330166270786,0.9025500992742788,1.0,5,300,1,3,0.2,0.5,1.0
xgboost,binary,time_ablated,6,f1_score,0.4089416058394161,41,14.23032283782959,0.8849664381858863,0.28968459152016546,0.6950992555831266,0.4089416058394161,0.8960685732173512,0.7,5,800,5,8,0.03,0.5,1.0
xgboost,binary,time_ablated,7,f1_score,0.3793422491378585,41,9.216829776763916,0.8689668643676528,0.26024235429890363,0.6994416873449132,0.3793422491378585,0.8915431746128935,0.7,2,600,1,6,0.2,0.0,0.7
xgboost,binary,time_ablated,8,f1_score,0.43852295409181635,41,4.349350929260254,0.9000958908974678,0.32327839905826955,0.6814516129032258,0.43852295409181635,0.9000904522354708,1.0,2,300,3,8,0.05,0.5,1.0
xgboost,binary,time_ablated,9,f1_score,0.42935779816513764,41,4.91015362739563,0.8950704975672125,0.31173748422381153,0.6895161290322581,0.42935779816513764,0.9027538154461243,1.0,2,600,3,4,0.03,0.1,0.8
xgboost,binary,time_ablated,10,f1_score,0.40966921119592875,41,8.682841777801514,0.8846468018609938,0.2897172236503856,0.6991315136476427,0.40966921119592875,0.8994767476643202,0.9,1,800,5,4,0.1,0.0,0.7
xgboost,binary,time_ablated,11,f1_score,0.43099273607748184,41,7.860267877578735,0.8956742550697873,0.31333614983805097,0.690136476426799,0.43099273607748184,0.9027073361308363,0.7,2,600,1,6,0.01,0.0,1.0
xgboost,binary,time_ablated,12,f1_score,0.4103924618058732,41,6.1695356369018555,0.885552438114856,0.29103412482159075,0.6957196029776674,0.4103924618058732,0.8953559010940269,1.0,1,600,1,6,0.1,0.1,1.0
xgboost,binary,time_ablated,13,f1_score,0.4281058282208589,41,3.498552083969116,0.8940583158717192,0.30979467258601556,0.6926178660049628,0.4281058282208589,0.9029064514025763,1.0,5,400,3,4,0.03,0.5,0.9
xgboost,binary,time_ablated,14,f1_score,0.4261983863312767,41,3.4037837982177734,0.892655467556913,0.30707153604158116,0.6963399503722084,0.4261983863312767,0.9021654903163177,1.0,5,400,3,4,0.1,0.5,0.7
xgboost,binary,time_ablated,15,f1_score,0.3924521615875266,41,7.782666921615601,0.8782185602159321,0.27467757936507936,0.6870347394540943,0.3924521615875266,0.8888328763787511,1.0,2,600,1,8,0.1,0.0,0.8
xgboost,binary,time_ablated,16,f1_score,0.4312506073267904,41,8.770237445831299,0.8960649216891003,0.31399462289514646,0.6882754342431762,0.4312506073267904,0.9029275717249654,1.0,5,800,3,6,0.01,0.1,0.8
xgboost,binary,time_ablated,17,f1_score,0.41912588718714977,41,7.130673885345459,0.889547892176013,0.2998396579369321,0.6960297766749379,0.41912588718714977,0.900410268835121,0.9,5,600,5,4,0.1,0.0,0.7
xgboost,binary,time_ablated,18,f1_score,0.4397686477861986,41,3.4400453567504883,0.9002379514863089,0.32407407407407407,0.6839330024813896,0.4397686477861986,0.902790178623593,0.8,5,300,3,4,0.03,0.5,0.8
xgboost,binary,time_ablated,19,f1_score,0.41571680103790193,41,3.6008987426757812,0.8880384984195759,0.29641865997092637,0.6957196029776674,0.41571680103790193,0.8970572964257988,0.8,2,200,1,8,0.1,0.1,0.7
xgboost,binary,time_ablated,20,f1_score,0.4285165257494235,41,2.6782193183898926,0.8943779521966119,0.3104120267260579,0.6916873449131513,0.4285165257494235,0.9021196945633311,0.7,1,200,3,5,0.1,0.0,1.0
xgboost,binary,time_ablated,21,f1_score,0.43775061124694375,41,7.535342216491699,0.8979117093440352,0.3196686187687473,0.6941687344913151,0.43775061124694375,0.9030429535359918,0.8,5,600,3,5,0.03,0.5,0.9
xgboost,binary,time_ablated,22,f1_score,0.3998213488164359,41,11.527149438858032,0.8806868629470469,0.2807677832141513,0.6941687344913151,0.3998213488164359,0.893304384567243,0.8,5,600,1,8,0.05,0.0,1.0
xgboost,binary,time_ablated,23,f1_score,0.41280353200883,41,3.483739137649536,0.8866356501047696,0.29341004184100417,0.6960297766749379,0.41280353200883,0.900013300252813,0.9,5,300,5,4,0.2,0.0,0.8
xgboost,binary,time_ablated,24,f1_score,0.428393762556204,41,7.9473652839660645,0.893898497709273,0.3097247198782681,0.6944789081885856,0.428393762556204,0.9037495699984155,0.7,5,800,1,3,0.03,0.0,0.8
xgboost,binary,time_ablated,25,f1_score,0.4457004440855874,41,3.768688678741455,0.9024754057605568,0.3303411131059246,0.684863523573201,0.4457004440855874,0.9033136120740707,0.8,5,300,5,5,0.03,0.5,0.8
xgboost,binary,time_ablated,26,f1_score,0.42840757025425347,41,9.97028923034668,0.8938097098412473,0.3096159159988947,0.6950992555831266,0.42840757025425347,0.902133914996165,0.8,2,800,3,5,0.03,0.0,0.9
xgboost,binary,time_ablated,27,f1_score,0.4230156498922313,41,5.971563339233398,0.8906666193131371,0.3030750637840741,0.700062034739454,0.4230156498922313,0.9036612093467389,0.7,1,600,5,3,0.05,0.0,0.8
