model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap
random_forest,multiclass,time_ablated,1,macro_f1,0.5314417200534313,41,221.4177806377411,0.8241467485882729,0.5475821891729701,0.5611883901312976,0.5314417200534313,0.8819831662563195,0.9936522533792733,0.9196267569847499,0.870289431328212,500,5,1,,30.0,True
random_forest,multiclass,time_ablated,2,macro_f1,0.5312010970748926,41,309.3283166885376,0.8359555350356928,0.5456515595277759,0.5584102154154637,0.5312010970748926,0.8889145143708082,0.9938441474264614,0.9170156888105998,0.8611847649034338,700,5,2,,40.0,True
random_forest,multiclass,time_ablated,3,macro_f1,0.5278332424274839,41,56.176623821258545,0.7296231842880989,0.5522263414959881,0.5788435458587795,0.5278332424274839,0.8217513831550142,0.9870932470621764,0.9545373374167166,0.8868491305097312,500,2,4,log2,30.0,True
random_forest,multiclass,time_ablated,4,macro_f1,0.530314406244396,41,89.34219908714294,0.7805341478140427,0.5493759706828469,0.5676353202298532,0.530314406244396,0.8551948440366396,0.9906699505860608,0.9536987145683268,0.8829204138832485,700,2,2,sqrt,30.0,True
random_forest,multiclass,time_ablated,5,macro_f1,0.5170620300733109,41,82.63690757751465,0.6090492595091807,0.5511780417115826,0.6123132280834368,0.5170620300733109,0.7323800175259358,0.9782057138833323,0.9481551900405183,0.901147525455633,700,10,4,sqrt,20.0,True
random_forest,multiclass,time_ablated,6,macro_f1,0.5354121041297975,41,129.23925876617432,0.6635650104769685,0.5548357178662999,0.6454053385526143,0.5354121041297975,0.7745847642597717,0.9831188206761191,0.9303957370082321,0.8966748915998812,300,10,2,,20.0,True
random_forest,multiclass,time_ablated,7,macro_f1,0.5076128587959502,41,29.529229402542114,0.5170295130873317,0.5525127140726961,0.6360173240779494,0.5076128587959502,0.6535196807086271,0.9692568148737708,0.9567156182934474,0.9002599136457913,300,10,1,sqrt,10.0,True
random_forest,multiclass,time_ablated,8,macro_f1,0.5317778339809137,41,131.21718072891235,0.8327946869339773,0.5471125564423984,0.5589152639415631,0.5317778339809137,0.8870677723379562,0.993534932862344,0.9135834682614691,0.8615722352113131,300,10,1,,40.0,True
random_forest,multiclass,time_ablated,9,macro_f1,0.5300751811462765,41,62.53118419647217,0.8053059629932167,0.5471755946708475,0.5616788043803761,0.5300751811462765,0.8705753808998646,0.9925068401597101,0.9515048624767899,0.8746326993422229,500,5,2,sqrt,40.0,True
random_forest,multiclass,time_ablated,10,macro_f1,0.530267761961856,41,34.94517207145691,0.7929999644848528,0.5536522389620655,0.5602703424871914,0.530267761961856,0.8630294487501976,0.99151845436219,0.9520998363173024,0.8776394143496707,300,10,2,log2,,True
