model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
random_forest,binary,time_ablated,29,f1_score,0.528347085440511,41,28.27894735336304,0.9370671591433748,0.4627039627039627,0.6156947890818859,0.528347085440511,0.8827961390531646,300.0,10.0,4.0,log2,,True,,,,,,,,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,21,macro_f1,0.5497121422922565,41,226.13409876823425,0.8373228682032887,,,,,500.0,5.0,2.0,,,True,0.5594921052976799,0.5858245500656957,0.5497121422922565,0.8897251073267006,0.991714379563256,0.9074345911608108,0.8435443478010014,,,,,,,,,,,,,
xgboost,binary,time_ablated,4,f1_score,0.4606681609563454,41,4.802161931991577,0.9102709805732144,0.3511798209926769,0.6693548387096774,0.4606681609563454,0.8992997137918801,600.0,,,,4.0,,,,,,,,,1.0,2.0,1.0,0.01,0.5,1.0,,,,,,,
xgboost,multiclass,time_ablated,7,macro_f1,0.5504866769621416,41,100.3036036491394,0.6322761657847071,,,,,600.0,,,,6.0,,0.5884780389887615,0.6306103733301581,0.5504866769621416,0.7507845343469376,0.9795871960577588,0.9695145157347967,0.8960924997071729,0.7,2.0,1.0,0.2,0.0,0.7,,,,,,,
mlp,binary,time_ablated,17,f1_score,0.5097990263387842,41,42.30075764656067,0.930266008452605,0.4265719657405473,0.6333746898263027,0.5097990263387842,0.8947884509052701,,,,,,,,,,,,,,,,,,,,0.1,0.003,"(128, 64)",True,128.0,0.001,tanh
mlp,multiclass,time_ablated,13,macro_f1,0.447320804342427,41,45.03560519218445,0.5569840536989026,,,,,,,,,,,0.4344282286091609,0.6988406576584208,0.447320804342427,0.6883513707647215,0.971820229716878,0.972370139871562,0.8975457011246938,,,,,,,0.1,0.0005,"(64, 32)",True,128.0,0.005,tanh
