model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap
random_forest,binary,time_ablated,1,f1_score,0.4921206104975803,41,164.80870175361633,0.9273182512341513,0.410134436401241,0.6150744416873449,0.4921206104975803,0.8651212773898156,500,5,1,,30.0,True
random_forest,binary,time_ablated,2,f1_score,0.4842156386595435,41,231.92958569526672,0.9245658273253543,0.39784517158818833,0.6184863523573201,0.4842156386595435,0.8592613460825687,700,5,2,,40.0,True
random_forest,binary,time_ablated,3,f1_score,0.5206793724880072,41,48.825079917907715,0.9343502503817879,0.4473156605034529,0.6228287841191067,0.5206793724880072,0.8846412548194065,500,2,4,log2,30.0,True
random_forest,binary,time_ablated,4,f1_score,0.5081549439347605,41,76.40329098701477,0.9314557658841496,0.4312283737024221,0.6184863523573201,0.5081549439347605,0.8792295505034524,700,2,2,sqrt,30.0,True
random_forest,binary,time_ablated,5,f1_score,0.5043077296444606,41,70.64310097694397,0.9274603118229925,0.4141917480566075,0.6445409429280397,0.5043077296444606,0.895091333271326,700,10,4,sqrt,20.0,True
random_forest,binary,time_ablated,6,f1_score,0.4993906897392152,41,97.28414392471313,0.9270518876300742,0.41128061019670814,0.635545905707196,0.4993906897392152,0.8861531719394053,300,10,2,,20.0,True
random_forest,binary,time_ablated,7,f1_score,0.4831790471889817,41,28.371241569519043,0.9187058280356573,0.3798367057153,0.6637717121588089,0.4831790471889817,0.9008743988741438,300,10,1,sqrt,10.0,True
random_forest,binary,time_ablated,8,f1_score,0.48355104015481376,41,99.98796677589417,0.9241751607060411,0.39631245043616176,0.6200372208436724,0.48355104015481376,0.8611013380527566,300,10,1,,40.0,True
random_forest,binary,time_ablated,9,f1_score,0.5006254691018264,41,56.08386850357056,0.9291117661682707,0.41949685534591197,0.6206575682382134,0.5006254691018264,0.876253688315221,500,5,2,sqrt,40.0,True
random_forest,binary,time_ablated,10,f1_score,0.5021971123666039,41,31.531228065490723,0.9295912206556096,0.42185192997257964,0.6203473945409429,0.5021971123666039,0.8775822296236505,300,10,2,log2,,True
random_forest,binary,time_ablated,11,f1_score,0.5040029560290676,41,98.24327087402344,0.9284902510920908,0.41797752808988764,0.6346153846153846,0.5040029560290676,0.8853372410116815,300,5,2,,20.0,True
random_forest,binary,time_ablated,12,f1_score,0.48436929813891255,41,24.825851678848267,0.9247256454878006,0.39843906343806285,0.6175558312655087,0.48436929813891255,0.8508977217861705,200,2,1,log2,40.0,True
random_forest,binary,time_ablated,13,f1_score,0.516028955532575,41,28.994961738586426,0.9335156444223461,0.4423758865248227,0.6191066997518611,0.516028955532575,0.8814393642847227,300,5,4,log2,40.0,True
random_forest,binary,time_ablated,14,f1_score,0.48543468365953574,41,45.656853914260864,0.9197002521575451,0.3833572969086988,0.6616004962779156,0.48543468365953574,0.9006466178038417,500,10,2,sqrt,10.0,True
random_forest,binary,time_ablated,15,f1_score,0.5018708509354255,41,83.29461693763733,0.9267144937315765,0.4107883817427386,0.6448511166253101,0.5018708509354255,0.8937157342487381,700,5,2,sqrt,20.0,True
random_forest,binary,time_ablated,16,f1_score,0.5223278218981904,41,20.83572745323181,0.9348474624427319,0.4500785281579538,0.6222084367245657,0.5223278218981904,0.8850308385918944,200,5,4,log2,30.0,True
random_forest,binary,time_ablated,17,f1_score,0.4790005948839976,41,71.51357197761536,0.9222395851830806,0.3885350318471338,0.624379652605459,0.4790005948839976,0.8573412633960683,200,2,4,,,True
random_forest,binary,time_ablated,18,f1_score,0.4707809939923539,41,28.604478120803833,0.9139645558830841,0.3633451357275333,0.668424317617866,0.4707809939923539,0.9004153400494596,300,10,2,log2,10.0,True
random_forest,binary,time_ablated,19,f1_score,0.4490669929642092,41,147.96442556381226,0.9040558298114145,0.3344979492632538,0.6830024813895782,0.4490669929642092,0.9019496394530193,500,10,4,,10.0,True
random_forest,binary,time_ablated,20,f1_score,0.5004226542688082,41,53.099576234817505,0.9265369179955251,0.40972908839232747,0.6426799007444168,0.5004226542688082,0.894411507192945,500,5,2,log2,20.0,True
random_forest,binary,time_ablated,21,f1_score,0.4842820730671198,41,170.75991439819336,0.9245480697517491,0.39780658025922233,0.6187965260545906,0.4842820730671198,0.8482978568393856,500,5,2,,,True
random_forest,binary,time_ablated,22,f1_score,0.48876265744628306,41,165.70007920265198,0.9264836452747096,0.4060320065654493,0.613833746898263,0.48876265744628306,0.8534422999803227,500,2,1,,40.0,True
random_forest,binary,time_ablated,23,f1_score,0.5085612062356248,41,20.15747332572937,0.9317043719146216,0.4324206866579748,0.6172456575682382,0.5085612062356248,0.8770802436706805,200,5,2,log2,40.0,True
random_forest,binary,time_ablated,24,f1_score,0.4865909640009664,41,37.35218548774719,0.924530312178144,0.39849624060150374,0.6246898263027295,0.4865909640009664,0.8703553110103309,300,10,1,sqrt,30.0,True
random_forest,binary,time_ablated,25,f1_score,0.4902559286217422,41,83.86472845077515,0.9228966154064708,0.3944087646392142,0.6476426799007444,0.4902559286217422,0.891326353909065,700,5,1,sqrt,20.0,True
random_forest,binary,time_ablated,26,f1_score,0.4903180377889919,41,24.01874828338623,0.9228788578328657,0.3943741740607891,0.6479528535980149,0.4903180377889919,0.8904460541979606,200,2,1,sqrt,20.0,True
random_forest,binary,time_ablated,27,f1_score,0.5154190658989124,41,30.684592962265015,0.932752068757325,0.4386843824874755,0.6246898263027295,0.5154190658989124,0.8838598613151412,300,10,4,sqrt,30.0,True
random_forest,binary,time_ablated,28,f1_score,0.49273340309266367,41,57.515878438949585,0.9225237063607629,0.3940859215175749,0.657258064516129,0.49273340309266367,0.9001838899438988,700,2,2,log2,10.0,True
random_forest,binary,time_ablated,29,f1_score,0.528347085440511,41,28.278947353363037,0.9370671591433747,0.4627039627039627,0.6156947890818859,0.528347085440511,0.8827961390531646,300,10,4,log2,,True
random_forest,binary,time_ablated,30,f1_score,0.48339171397511776,41,25.675475597381592,0.9240508576908051,0.39584569732937686,0.6206575682382134,0.48339171397511776,0.8534051130226447,200,5,1,sqrt,40.0,True
