accuracy,balanced_accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,pr_auc,confusion_matrix,confusion_matrix_labels,threshold_percentile,threshold,model,seed
0.7900522072663991,0.7003014860293888,0.15496348607655885,0.5989454094292804,0.24622250557857825,0.19834243737050292,0.6986677312321835,0.1937988816207769,"[[42560, 10530], [1293, 1931]]","['Normal (0)', 'Attack (1)']",80,-0.13728094048526412,isolation_forest,42
0.835493838121959,0.7181383081400702,0.19233903830480847,0.5856079404466501,0.28957055214723926,0.1493313241665097,0.6986677312321835,0.1937988816207769,"[[45162, 7928], [1336, 1888]]","['Normal (0)', 'Attack (1)']",85,-0.08775006237187533,isolation_forest,42
0.8800120751500515,0.7331546937710999,0.25434570991517175,0.5673076923076923,0.3512241958713394,0.10099830476549256,0.6986677312321835,0.1937988816207769,"[[47728, 5362], [1395, 1829]]","['Normal (0)', 'Attack (1)']",90,0.0028881406242845737,isolation_forest,42
0.894644315800689,0.7015845032570283,0.267547623133688,0.483560794044665,0.34449232129046514,0.0803917875306084,0.6986677312321835,0.1937988816207769,"[[48822, 4268], [1665, 1559]]","['Normal (0)', 'Attack (1)']",92,0.1338197351421867,isolation_forest,42
0.910590616898107,0.602683875922108,0.23791606367583212,0.25496277915632753,0.24614463243000448,0.04959502731211151,0.6986677312321835,0.1937988816207769,"[[50457, 2633], [2402, 822]]","['Normal (0)', 'Attack (1)']",95,0.17366493020706852,isolation_forest,42
0.9253826757111908,0.5873676927189981,0.2877604166666667,0.2056451612903226,0.2398697539797395,0.030909775852326238,0.6986677312321835,0.1937988816207769,"[[51449, 1641], [2561, 663]]","['Normal (0)', 'Attack (1)']",97,0.189236300101697,isolation_forest,42
0.9329474020669816,0.49625796963534463,0.017482517482517484,0.003101736972704715,0.005268703898840885,0.010585797702015445,0.6986677312321835,0.1937988816207769,"[[52528, 562], [3214, 10]]","['Normal (0)', 'Attack (1)']",99,0.21510159879140722,isolation_forest,42
0.7869446318854991,0.700401367919171,0.15347551342812008,0.6026674937965261,0.24464870309745657,0.2018647579581842,0.6919091258254745,0.1745704075135287,"[[42373, 10717], [1281, 1943]]","['Normal (0)', 'Attack (1)']",80,-0.13694319206868105,isolation_forest,7
0.8336825656142345,0.7171776752525207,0.19036095987094173,0.5856079404466501,0.28732308628823616,0.1512525899416086,0.6919091258254745,0.1745704075135287,"[[45060, 8030], [1336, 1888]]","['Normal (0)', 'Attack (1)']",85,-0.09732848330353189,isolation_forest,7
0.8801008630180772,0.7330561147393793,0.2544543429844098,0.5669975186104218,0.35126825518831667,0.10088528913166321,0.6919091258254745,0.1745704075135287,"[[47734, 5356], [1396, 1828]]","['Normal (0)', 'Attack (1)']",90,-0.0026624920185398097,isolation_forest,7
0.8817523173633555,0.5903024710601923,0.16448525102559095,0.26116625310173697,0.2018458588037876,0.08056131098135243,0.6919091258254745,0.1745704075135287,"[[48813, 4277], [2382, 842]]","['Normal (0)', 'Attack (1)']",92,0.1421685289672094,isolation_forest,7
