Model,Accuracy,Balanced accuracy,Precision,Recall,F1-score,FPR,ROC-AUC,PR-AUC,Training time (s)
IF,88.35 ± 0.83,73.22 ± 0.19,26.12 ± 1.80,56.13 ± 0.53,35.61 ± 1.51,9.69 ± 0.91,70.13 ± 0.48,20.68 ± 2.76,1.04 ± 0.12
SAE,89.95 ± 0.03,74.18 ± 0.09,29.94 ± 0.10,56.38 ± 0.17,39.11 ± 0.12,8.01 ± 0.03,72.39 ± 0.71,19.55 ± 2.28,48.24 ± 20.61
