accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,balanced_accuracy,pr_auc,model,model_display,task,task_display,seed,seed_label,benchmark,n_features,objective_metric,objective_score,training_time_seconds,total_runtime_seconds,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc
0.9364709559189124,0.4590437361008154,0.6146401985111662,0.525567579036707,0.0439853532842095,0.8869485705901548,0.7853274226134783,0.6683769270090142,random_forest,Random Forest,binary,Binary,42,Seed 42,time_ablated,41,f1_score,0.525567579036707,48.14383721351624,48.14383721351624,,,,,,,,,
0.933061526004006,0.438932664756447,0.6081885856079404,0.5098814229249012,0.0472100417401262,0.883433079862396,0.7804892719339072,0.6604751989187341,random_forest,Random Forest,binary,Binary,7,Seed 7,time_ablated,41,f1_score,0.5098814229249012,42.28551983833313,42.28551983833313,,,,,,,,,
0.9344110920119898,0.4476547173176387,0.6228287841191067,0.5209089965756978,0.0466675707849253,0.8873213081117992,0.7880806066670907,0.6731701004344398,random_forest,Random Forest,binary,Binary,21,Seed 21,time_ablated,41,f1_score,0.5209089965756978,41.19841837882996,41.19841837882996,,,,,,,,,
0.9339138834827326,0.4451885794853719,0.6267990074441687,0.5206100577081616,0.0474360713047933,0.8834378696700443,0.7896814680696878,0.6751559793002576,random_forest,Random Forest,binary,Binary,100,Seed 100,time_ablated,41,f1_score,0.5206100577081616,42.15325379371643,42.15325379371643,,,,,,,,,
0.9330331140880486,0.4404596100278551,0.6277915632754343,0.5177000204624514,0.0484306013893283,0.8892508957706822,0.789680480943053,0.6780991486812987,random_forest,Random Forest,binary,Binary,2026,Seed 2026,time_ablated,41,f1_score,0.5177000204624514,40.892131090164185,40.892131090164185,,,,,,,,,
0.9232452090406716,0.3963147560791421,0.6511166253101737,0.4927236879166276,0.0602293446649488,0.8997464673672948,0.7954436403226124,0.6693646933729804,xgboost,XGBoost,binary,Binary,42,Seed 42,time_ablated,41,f1_score,0.4927236879166276,6.702789783477783,6.702789783477783,,,,,,,,,
0.911610529456054,0.3535151029136594,0.6563275434243176,0.4595205003474635,0.0728870002863041,0.8969278394351781,0.7917202715690068,0.6615868787322637,xgboost,XGBoost,binary,Binary,7,Seed 7,time_ablated,41,f1_score,0.4595205003474635,6.220053434371948,6.220053434371948,,,,,,,,,
0.90143906354325,0.327561669829222,0.6853598014888338,0.4432675333012357,0.0854391754441481,0.8999936846330071,0.7999603130223428,0.6808567470376171,xgboost,XGBoost,binary,Binary,21,Seed 21,time_ablated,41,f1_score,0.4432675333012357,7.674927473068237,7.674927473068237,,,,,,,,,
0.9039109002315572,0.3347836596567561,0.6873449131513648,0.450260078023407,0.0829377815951659,0.901416061200954,0.8022035657780995,0.684815749251186,xgboost,XGBoost,binary,Binary,100,Seed 100,time_ablated,41,f1_score,0.450260078023407,6.660813570022583,6.660813570022583,,,,,,,,,
0.9097495489608342,0.3512232611758678,0.6803970223325062,0.4632930641209766,0.0763226496692434,0.903581751603118,0.8020371863316313,0.681892200760176,xgboost,XGBoost,binary,Binary,2026,Seed 2026,time_ablated,41,f1_score,0.4632930641209766,6.1696085929870605,6.1696085929870605,,,,,,,,,
0.9744292756382028,0.9924911660777384,0.5575682382133995,0.7140133460438512,0.0002561668399559,0.8966503297208612,0.7786560356867218,0.6730673502076213,mlp,MLP,binary,Binary,42,Seed 42,time_ablated,41,f1_score,0.7140133460438512,82.05902171134949,82.05902171134949,,,,,,,,,
0.973718977739264,0.9945553539019965,0.5439205955334988,0.7032402951555984,0.0001808236517336,0.8902708125835762,0.7718698859408826,0.6610553149680735,mlp,MLP,binary,Binary,7,Seed 7,time_ablated,41,f1_score,0.7032402951555984,100.37297749519348,100.37297749519348,,,,,,,,,
0.9748128365036296,0.9921500218054948,0.5645161290322581,0.719595128894512,0.0002712354776004,0.8956265111403785,0.7821224467773289,0.6810936449518705,mlp,MLP,binary,Binary,21,Seed 21,time_ablated,41,f1_score,0.719595128894512,81.21076369285583,81.21076369285583,,,,,,,,,
0.974912278209481,0.9930313588850174,0.56575682382134,0.7208346506481189,0.0002410982023115,0.896885039643417,0.7827578628095142,0.6853273441660904,mlp,MLP,binary,Binary,100,Seed 100,time_ablated,41,f1_score,0.7208346506481189,98.69383525848389,98.69383525848389,,,,,,,,,
0.9750259258733112,0.9917748917748918,0.5684863523573201,0.7227129337539432,0.0002863041152449,0.901382250244155,0.7841000241210376,0.6874287912994044,mlp,MLP,binary,Binary,2026,Seed 2026,time_ablated,41,f1_score,0.7227129337539432,101.99863123893738,101.99863123893738,,,,,,,,,
0.8266589007429715,,,,,,,,random_forest,Random Forest,multiclass,Multiclass,42,Seed 42,time_ablated,41,macro_f1,0.544367770230109,306.397917509079,306.397917509079,0.5600193875798828,0.5719706207319952,0.544367770230109,0.9548663805279556,0.8266589007429715,0.8833819292075491,0.9913715206866428,0.900843411234713,0.8470407701223405
0.8237182674413649,,,,,,,,random_forest,Random Forest,multiclass,Multiclass,7,Seed 7,time_ablated,41,macro_f1,0.4601941727469159,287.9077000617981,287.9077000617981,0.4338508222588986,0.524386045532944,0.4601941727469159,0.9551592252532064,0.8237182674413649,0.8816687496492255,0.9916135588307318,0.9226694361564192,0.8512248972727073
