model,model_display,task,task_display,n_runs,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max,total_runtime_seconds_mean,total_runtime_seconds_std,total_runtime_seconds_min,total_runtime_seconds_max,objective_score_mean,objective_score_std,objective_score_min,objective_score_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,micro_roc_auc_mean,micro_roc_auc_std,micro_roc_auc_min,micro_roc_auc_max,macro_roc_auc_mean,macro_roc_auc_std,macro_roc_auc_min,macro_roc_auc_max,weighted_roc_auc_mean,weighted_roc_auc_std,weighted_roc_auc_min,weighted_roc_auc_max
mlp,MLP,binary,Binary,5,"42, 7, 21, 100, 2026",0.9745798587927776,0.0005309304562349579,0.973718977739264,0.9750259258733112,0.9928005584890277,0.0010843765044297315,0.9917748917748918,0.9945553539019965,0.5600496277915633,0.009874247022864284,0.5439205955334988,0.5684863523573201,0.7160792708992048,0.00787540031558342,0.7032402951555984,0.7227129337539432,0.779901251067097,0.00491876568161827,0.7718698859408826,0.7841000241210376,0.00024712565736926,4.07132169615733e-05,0.0001808236517336,0.0002863041152449,0.8961629886664776,0.0039687875182708755,0.8902708125835762,0.901382250244155,0.677594489118612,0.010756322633864298,0.6610553149680735,0.6874287912994044,92.86704587936401,10.324226797891466,81.21076369285583,101.99863123893738,92.86704587936401,10.324226797891466,81.21076369285583,101.99863123893738,0.7160792708992048,0.00787540031558342,0.7032402951555984,0.7227129337539432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,MLP,multiclass,Multiclass,5,"42, 7, 21, 100, 2026",0.9743724518062876,7.031590454036344e-05,0.9742588041424574,0.9744292756382028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.745621824264525,5.040409892116126,18.39629077911377,32.004053354263306,24.745621824264525,5.040409892116126,18.39629077911377,32.004053354263306,0.3540544932580192,0.02558746331454767,0.3168860498724115,0.3742601724722965,0.4106982732898192,0.031170336223797914,0.3712607619059067,0.4477239257208605,0.35209641945296594,0.027793761464507218,0.3111171973899209,0.3796381484404171,0.3540544932580192,0.02558746331454767,0.3168860498724115,0.3742601724722965,0.9621761752186886,8.088648221726576e-05,0.9620478665279844,0.9622576652169668,0.9988950724848822,2.9387473796761686e-05,0.998854281553322,0.9989217654539276,0.9713583260934314,0.0009371556138067729,0.970180238379794,0.9723876919621782,0.8962756255537085,0.002783826600811686,0.8923578891607269,0.899110361403042
random_forest,Random Forest,binary,Binary,5,"42, 7, 21, 100, 2026",0.934178114301138,0.0014088128101893147,0.9330331140880486,0.9364709559189124,0.44625586153762564,0.00796635686773755,0.438932664756447,0.4590437361008154,0.6200496277915633,0.008413703813506385,0.6081885856079404,0.6277915632754343,0.5189336153415838,0.005791934223798354,0.5098814229249012,0.525567579036707,0.7866518500454435,0.0038769837816919565,0.7804892719339072,0.7896814680696878,0.04674592770067652,0.0016700850568347905,0.0439853532842095,0.0484306013893283,0.8860783448010153,0.0025659728118170347,0.883433079862396,0.8892508957706822,0.6710554708687488,0.006892314133670343,0.6604751989187341,0.6780991486812987,42.93463206291199,2.9729600216459375,40.892131090164185,48.14383721351624,42.93463206291199,2.9729600216459375,40.892131090164185,48.14383721351624,0.5189336153415838,0.005791934223798354,0.5098814229249012,0.525567579036707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest,Random Forest,multiclass,Multiclass,5,"42, 7, 21, 100, 2026",0.8263378460926513,0.0024577662169443333,0.8237182674413649,0.8298410353302175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.2744922161102,23.828055278738695,284.49797439575195,343.80340337753296,307.2744922161102,23.828055278738695,284.49797439575195,343.80340337753296,0.5195428001438236,0.03933274930781926,0.4601941727469159,0.564065334028636,0.5200178371599172,0.05188773827055754,0.4338508222588986,0.5600193875798828,0.5585222243980295,0.03353271147584795,0.524386045532944,0.6095379652782401,0.5195428001438236,0.03933274930781926,0.4601941727469159,0.564065334028636,0.8832013462711469,0.001454348006830022,0.8816687496492255,0.8852323742249351,0.9915297749921128,0.00011314067917657637,0.9913715206866428,0.991661857377985,0.9196331985213,0.018652231941388746,0.8999659004120405,0.9401029101146938,0.8493396062965397,0.00165560314527877,0.8470407701223405,0.8512248972727073
xgboost,XGBoost,binary,Binary,5,"42, 7, 21, 100, 2026",0.9099910502464734,0.008492032470190038,0.90143906354325,0.9232452090406716,0.35267968993092946,0.02673023068892732,0.327561669829222,0.3963147560791421,0.6721091811414392,0.017074412657838926,0.6511166253101737,0.6873449131513648,0.46181297274194205,0.01897578136208582,0.4432675333012357,0.4927236879166276,0.7982729954047386,0.004566426321119242,0.7917202715690068,0.8022035657780995,0.07556319033196206,0.009934602065768496,0.0602293446649488,0.0854391754441481,0.9003331608479105,0.002438323313987386,0.8969278394351781,0.903581751603118,0.6757032538308446,0.009840585903719194,0.6615868787322637,0.684815749251186,6.685638570785523,0.6047022891835622,6.1696085929870605,7.674927473068237,6.685638570785523,0.6047022891835622,6.1696085929870605,7.674927473068237,0.46181297274194205,0.01897578136208582,0.4432675333012357,0.4927236879166276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,XGBoost,multiclass,Multiclass,5,"42, 7, 21, 100, 2026",0.6112312303780205,0.003109541100329379,0.6076456465841774,0.6145071242879263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.77964835166932,7.704300968128902,131.24089360237122,151.2389714717865,138.77964835166932,7.704300968128902,131.24089360237122,151.2389714717865,0.5246162908230528,0.04979248075139533,0.4681980465392009,0.592697746717434,0.5395275779736148,0.06028903431021713,0.4600829354247189,0.6063602238835711,0.6222011889692616,0.039912589291142574,0.5887801024384126,0.684388848281103,0.5246162908230528,0.04979248075139533,0.4681980465392009,0.592697746717434,0.734134198636377,0.0024865907918513335,0.731258195973933,0.7367026595656957,0.9785238888532657,0.00016913936330772658,0.97842055800629,0.9788169825872536,0.9637331147137586,0.008031468734448722,0.9510583555796116,0.971713931784064,0.8965467818991476,0.0018083149788367377,0.8943457947334361,0.8991102619100908
