Model,Task,Runs,Accuracy,Precision,Recall,F1-score,balanced_accuracy,pr_auc,False positive rate,Macro precision,Macro recall,Macro F1,Weighted F1,Micro ROC-AUC
MLP,Binary,5,97.46 ± 0.05%,99.28 ± 0.11%,56.00 ± 0.99%,71.61 ± 0.79%,77.99 ± 0.49%,67.76 ± 1.08%,0.02 ± 0.00%,,,,,
MLP,Multiclass,5,97.44 ± 0.01%,,,,,,,41.07 ± 3.12%,35.21 ± 2.78%,35.41 ± 2.56%,96.22 ± 0.01%,99.89 ± 0.00%
Random Forest,Binary,5,93.42 ± 0.14%,44.63 ± 0.80%,62.00 ± 0.84%,51.89 ± 0.58%,78.67 ± 0.39%,67.11 ± 0.69%,4.67 ± 0.17%,,,,,
Random Forest,Multiclass,5,82.63 ± 0.25%,,,,,,,52.00 ± 5.19%,55.85 ± 3.35%,51.95 ± 3.93%,88.32 ± 0.15%,99.15 ± 0.01%
XGBoost,Binary,5,91.00 ± 0.85%,35.27 ± 2.67%,67.21 ± 1.71%,46.18 ± 1.90%,79.83 ± 0.46%,67.57 ± 0.98%,7.56 ± 0.99%,,,,,
XGBoost,Multiclass,5,61.12 ± 0.31%,,,,,,,53.95 ± 6.03%,62.22 ± 3.99%,52.46 ± 4.98%,73.41 ± 0.25%,97.85 ± 0.02%
