accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,balanced_accuracy,pr_auc,benchmark,benchmark_display,model,model_display,task,task_display,seed,expected_features,n_features,objective_metric,objective_score,training_time_seconds,total_runtime_seconds,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc
0.973718978,0.994555354,0.543920596,0.703240295,0.000180824,0.890270813,0.771869886,0.661055315,time_ablated,Time-ablated,mlp,MLP,binary,Binary,7,41,41,f1_score,0.703240295,32.37576103,32.37576103,,,,,,,,,
0.974812837,0.992150022,0.564516129,0.719595129,0.000271235,0.895626511,0.782122447,0.681093645,time_ablated,Time-ablated,mlp,MLP,binary,Binary,21,41,41,f1_score,0.719595129,27.40590668,27.40590668,,,,,,,,,
0.974912278,0.993031359,0.565756824,0.720834651,0.000241098,0.89688504,0.782757863,0.685327344,time_ablated,Time-ablated,mlp,MLP,binary,Binary,100,41,41,f1_score,0.720834651,30.05478668,30.05478668,,,,,,,,,
0.975025926,0.991774892,0.568486352,0.722712934,0.000286304,0.90138225,0.784100024,0.687428791,time_ablated,Time-ablated,mlp,MLP,binary,Binary,2026,41,41,f1_score,0.722712934,37.29697633,37.29697633,,,,,,,,,
0.977171026,,,,,,,,full_features,Full-features,random_forest,Random Forest,multiclass,Multiclass,42,49,49,macro_f1,0.886844434,589.1880856,589.1880856,0.909830536,0.890287365,0.886844434,0.982809935,0.977171026,0.979331563,0.999892064,0.970969404,0.995391256
0.976645405,,,,,,,,full_features,Full-features,random_forest,Random Forest,multiclass,Multiclass,7,49,49,macro_f1,0.879898223,569.0503271,569.0503271,0.877193703,0.898125924,0.879898223,0.983378386,0.976645405,0.979152231,0.999861672,0.985175286,0.994721802
0.977455145,,,,,,,,full_features,Full-features,random_forest,Random Forest,multiclass,Multiclass,21,49,49,macro_f1,0.907501842,617.5746865,617.5746865,0.878238697,0.952642956,0.907501842,0.983216121,0.977455145,0.979646924,0.999903913,0.998722765,0.995314034
0.977426733,,,,,,,,full_features,Full-features,random_forest,Random Forest,multiclass,Multiclass,100,49,49,macro_f1,0.912221026,589.7922647,589.7922647,0.891862546,0.944226824,0.912221026,0.982842097,0.977426733,0.979512917,0.999898101,0.98832067,0.995351004
0.977455145,,,,,,,,full_features,Full-features,random_forest,Random Forest,multiclass,Multiclass,2026,49,49,macro_f1,0.880538995,566.9486263,566.9486263,0.890404119,0.892143818,0.880538995,0.983134916,0.977455145,0.979610806,0.999868838,0.972862506,0.995232272
0.826658901,,,,,,,,time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,42,41,41,macro_f1,0.54436777,305.5096567,305.5096567,0.560019388,0.571970621,0.54436777,0.954866381,0.826658901,0.883381929,0.991371521,0.900843411,0.84704077
0.823718267,,,,,,,,time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,7,41,41,macro_f1,0.460194173,289.2993748,289.2993748,0.433850822,0.524386046,0.460194173,0.955159225,0.823718267,0.88166875,0.991613559,0.922669436,0.851224897
