class_name,full_count,percentage
AITM_T0830,287,0.08154289383512993
Change_Operating_Mode_T0858,252,0.07159863848938237
Data_from_Local_System_T0893,14,0.003977702138299021
Detect_Operating_Mode_T0868,8414,2.3905989851177116
File_and_Directory_Discovery_T1083,13,0.003693580556991948
Modify_Alarm_Settings_T0838,21,0.005966553207448532
Modify_Controller_Tasking_T0821,21,0.005966553207448532
Modify_Parameters_T0836,21,0.005966553207448532
Network_Enumeration_T0840,6209,1.764110898335616
Normal,331812,94.27495013666248
Remote_Services_T0886,15,0.004261823719606094
Remote_System_Discovery_T0846,4883,1.387365681522437
