model,accuracy,precision,recall,f1_score,roc_auc,false_positive_rate
RF,0.9240265367295043,0.39533036848792885,0.6176178660049628,0.4820840596552392,0.8360694146701749,0.05736630351249943
XGBoost,0.8954441492762064,0.31173677069199457,0.6841191066997518,0.4283051110765885,0.8999484712418416,0.09172279734189231
MLP,0.9713323767988294,0.9184692179700499,0.5478908188585608,0.6863537457258315,0.8835969671880228,0.0029534529783162306
