Model,Task,Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC,FPR,Weighted F1
RF,binary,41,0.9240265367295043,0.39533036848792885,0.6176178660049628,0.4820840596552392,0.8360694146701749,0.05736630351249943,
RF,multiclass,41,0.8270850794823349,0.6109203222235224,0.5928755325920194,0.5826087962039715,0.9901782843642453,,0.8836631436306038
XGBoost,binary,41,0.8954441492762064,0.31173677069199457,0.6841191066997518,0.4283051110765885,0.8999484712418416,0.09172279734189231,
XGBoost,multiclass,41,0.5865640049436733,0.5968147591523062,0.6593237080301079,0.5605259769367937,0.9763482306265969,,0.7139405186082824
MLP,binary,41,0.9713323767988294,0.9184692179700499,0.5478908188585608,0.6863537457258315,0.8835969671880228,0.0029534529783162306,
MLP,multiclass,41,0.9717443495802139,0.3576933530369147,0.3880485519231193,0.34143815454038545,0.9985249531974102,,0.9607069671138389
