model,accuracy,macro_precision,macro_recall,macro_f1,micro_roc_auc,macro_roc_auc,weighted_f1
RF,0.8270850794823349,0.6109203222235224,0.5928755325920194,0.5826087962039715,0.9901782843642453,0.8815566827331235,0.8836631436306038
XGBoost,0.5865640049436733,0.5968147591523062,0.6593237080301079,0.5605259769367937,0.9763482306265969,0.9713913907936863,0.7139405186082824
MLP,0.9717443495802139,0.3576933530369147,0.3880485519231193,0.34143815454038545,0.9985249531974102,0.9682570982205951,0.9607069671138389
