benchmark,data_dir,expected_features,model,model_key,task,n_features_reported,accuracy,precision,recall,f1_score,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,micro_roc_auc,macro_roc_auc,weighted_roc_auc,false_positive_rate,training_time_seconds,total_runtime_seconds,metrics_file_prefix,accuracy_drop_from_with_time,precision_drop_from_with_time,recall_drop_from_with_time,f1_score_drop_from_with_time,weighted_f1_drop_from_with_time,roc_auc_drop_from_with_time,false_positive_rate_drop_from_with_time
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,Random Forest,random_forest,binary,49,0.9766738169988494,0.8155391120507399,0.7657568238213399,0.7898643460455592,,,,,0.9950068517431888,,,,0.0105179090758404,50.27369952201843,54.72902178764343,random_forest_binary_with_time_ablation,,,,,,,
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,Random Forest,random_forest,multiclass,49,0.9776256161834274,0.9183699970741804,0.8276176981895568,0.8592492647715746,0.9183699970741804,0.8276176981895568,0.8592492647715746,0.976977724646967,0.9998913968241973,0.9998913968241973,0.9709126666623896,0.99519843080835,,58.96031212806702,65.92841267585754,random_forest_multiclass_with_time_ablation,,,,,,,
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,XGBoost,xgboost,binary,49,0.9758924893100166,0.7051890941072999,0.994789081885856,0.8253216675244467,,,,,0.9953798696985364,,,,0.0252550366921326,8.565495729446411,11.394378900527954,xgboost_binary_with_time_ablation,,,,,,,
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,XGBoost,xgboost,multiclass,49,0.9758498714360804,0.8538936824725076,0.9334030596052324,0.8725665143191675,0.8538936824725076,0.9334030596052324,0.8725665143191675,0.9796167441286842,0.9998972085909632,0.9998972085909632,0.9987457857734366,0.9957472833455436,,72.54451727867126,78.68860149383545,xgboost_multiclass_with_time_ablation,,,,,,,
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,MLP,mlp,binary,49,0.9707073146477632,0.766522210184182,0.7022332506203474,0.732970732970733,,,,,0.9880865761658498,,,,0.0129891656495336,167.89347743988037,176.3175175189972,mlp_binary_with_time_ablation,,,,,,,
with_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\with-time,49,MLP,mlp,multiclass,49,0.9716875257482988,0.4850470588749986,0.5202081595576956,0.4730770543539299,0.4850470588749986,0.5202081595576956,0.4730770543539299,0.9759930500005156,0.999682584131762,0.999682584131762,0.9778627248055448,0.9919498110830928,,72.35219836235046,82.55232071876526,mlp_multiclass_with_time_ablation,,,,,,,
no_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\no_time,41,Random Forest,random_forest,binary,41,0.9240265367295044,0.3953303684879288,0.6176178660049628,0.4820840596552392,,,,,0.8360694146701749,,,,0.0573663035124994,48.07708835601807,53.55425643920898,random_forest_binary_no_time_ablation,0.052647280269345,0.420208743562811,0.1481389578163771,0.30778028639032,,0.158937437073014,-0.0468483944366589
no_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\no_time,41,Random Forest,random_forest,multiclass,41,0.8270850794823349,0.6109203222235224,0.5928755325920194,0.5826087962039715,0.6109203222235224,0.5928755325920194,0.5826087962039715,0.8836631436306038,0.9901782843642452,0.9901782843642452,0.8815566827331235,0.8358087599307173,,59.25750279426575,65.75614309310913,random_forest_multiclass_no_time_ablation,0.1505405367010924,0.3074496748506579,0.2347421655975373,0.276640468567603,0.0933145810163631,0.0097131124599518,
no_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\no_time,41,XGBoost,xgboost,binary,41,0.8954441492762064,0.3117367706919945,0.6841191066997518,0.4283051110765885,,,,,0.8999484712418416,,,,0.0917227973418923,5.344035863876343,8.388060808181763,xgboost_binary_no_time_ablation,0.0804483400338101,0.3934523234153053,0.3106699751861043,0.3970165564478582,,0.0954313984566948,-0.0664677606497596
no_time,C:\Users\Lenovo\Desktop\ICS_Dataset_Eval\processed_flow_benchmark\no_time,41,XGBoost,xgboost,multiclass,41,0.5865640049436733,0.5968147591523062,0.6593237080301079,0.5605259769367937,0.5968147591523062,0.6593237080301079,0.5605259769367937,0.7139405186082824,0.9763482306265968,0.9763482306265968,0.9713913907936864,0.9003835483575412,,66.92695236206055,72.30207777023315,xgboost_multiclass_no_time_ablation,0.3892858664924069,0.2570789233202014,0.2740793515751245,0.3120405373823738,0.2656762255204017,0.0235489779643661,
